outcome,mmwr_week,age_group,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population
case,202140,12-17,2332,4801539,23740,5615499
case,202140,12-17,,,23740,5615499
case,202140,18-29,9571,11839840,38756,10595621
case,202140,18-29,,,38756,10595621
case,202140,30-49,25229,22641584,58921,12473521
case,202140,30-49,,,58921,12473521
case,202140,50-64,19123,19882696,28284,6352268
case,202140,50-64,,,28284,6352268
case,202140,65-79,14184,14990939.1,12355,1760686.3
case,202140,65-79,,,12355,1760686.3
case,202140,80+,4601,4358645,3202,779042.85
case,202140,80+,,,3202,779042.85
case,202140,all_ages,72708,73713704.1,141518,31961139.15
case,202140,all_ages,,,141518,31961139.15
case,202141,12-17,2016,4926018,19159,5557291
case,202141,12-17,,,19159,5557291
case,202141,18-29,8843,12043288,32436,10471667
case,202141,18-29,,,32436,10471667
case,202141,30-49,22877,22943704,49589,12290728
case,202141,30-49,,,49589,12290728
case,202141,50-64,17534,20035731,24539,6256042
case,202141,50-64,,,24539,6256042
case,202141,65-79,12411,15054462.1,11104,1702599.3
case,202141,65-79,,,11104,1702599.3
case,202141,80+,4178,4373753,2959,758084.85
case,202141,80+,,,2959,758084.85
case,202141,all_ages,65843,74450938.1,120627,31479121.15
case,202141,all_ages,,,120627,31479121.15
case,202142,12-17,2004,5030855,15953,5508283
case,202142,12-17,,,15953,5508283
case,202142,18-29,7935,12226599,28797,10356561
case,202142,18-29,,,28797,10356561
case,202142,30-49,21365,23223413,43778,12122502
case,202142,30-49,,,43778,12122502
case,202142,50-64,16291,20176473,21254,6165317
case,202142,50-64,,,21254,6165317
case,202142,65-79,11011,15115747.1,9585,1667208.3
case,202142,65-79,,,9585,1667208.3
case,202142,80+,3671,4389118,2552,740240.85
case,202142,80+,,,2552,740240.85
case,202142,all_ages,60273,75131350.1,105966,31051829.15
case,202142,all_ages,,,105966,31051829.15
case,202143,12-17,2029,5115539,16398,5462973
case,202143,12-17,,,16398,5462973
case,202143,18-29,8811,12384587,30031,10241772
case,202143,18-29,,,30031,10241772
case,202143,30-49,22683,23459324,44051,11936825
case,202143,30-49,,,44051,11936825
case,202143,50-64,17167,20295939,21502,6044869
case,202143,50-64,,,21502,6044869
case,202143,65-79,10900,15166914.1,9398,1618171.85
case,202143,65-79,,,9398,1618171.85
case,202143,80+,3849,4402639,2637,706346.85
case,202143,80+,,,2637,706346.85
case,202143,all_ages,63410,75709403.1,107619,30547984.7
case,202143,all_ages,,,107619,30547984.7
case,202144,12-17,2558,5185026,17068,5419487
case,202144,12-17,,,17068,5419487
case,202144,18-29,11959,12522645,31662,10128145
case,202144,18-29,,,31662,10128145
case,202144,30-49,26611,23671077,45421,11746759
case,202144,30-49,,,45421,11746759
case,202144,50-64,18800,20401076,21774,5917513
case,202144,50-64,,,21774,5917513
case,202144,65-79,11035,15215729.1,9073,1574283.85
case,202144,65-79,,,9073,1574283.85
case,202144,80+,3911,4415853,2506,676270.05
case,202144,80+,,,2506,676270.05
case,202144,all_ages,72316,76226380.1,110436,30042970.9
case,202144,all_ages,,,110436,30042970.9
case,202145,12-17,2994,5242620,19508,5351839
case,202145,12-17,,,19508,5351839
case,202145,18-29,12900,12642375,34924,10017914
case,202145,18-29,,,34924,10017914
case,202145,30-49,31700,23862117,51904,11568944
case,202145,30-49,,,51904,11568944
case,202145,50-64,22197,20500971,25114,5802344
case,202145,50-64,,,25114,5802344
case,202145,65-79,11835,15282160.1,10111,1541860.85
case,202145,65-79,,,10111,1541860.85
case,202145,80+,4275,4434996,2782,659058.05
case,202145,80+,,,2782,659058.05
case,202145,all_ages,82907,76722619.1,124835,29590120.9
case,202145,all_ages,,,124835,29590120.9
case,202146,12-17,3446,5290541,20738,5273395
case,202146,12-17,,,20738,5273395
case,202146,18-29,14083,12748700,36803,9899994
case,202146,18-29,,,36803,9899994
case,202146,30-49,35169,24036805,56602,11376810
case,202146,30-49,,,56602,11376810
case,202146,50-64,25207,20594187,28583,5676704
case,202146,50-64,,,28583,5676704
case,202146,65-79,12977,15343644.1,11737,1509600.85
case,202146,65-79,,,11737,1509600.85
case,202146,80+,4360,4454077,3326,642475.05
case,202146,80+,,,3326,642475.05
case,202146,all_ages,91796,77177413.1,137051,29105583.9
case,202146,all_ages,,,137051,29105583.9
case,202147,12-17,2852,5334088,15174,5199551
case,202147,12-17,,,15174,5199551
case,202147,18-29,12660,12844595,31733,9764313
case,202147,18-29,,,31733,9764313
